Сценарий	Отчетная дата	Кол-во закладных	Текущий ОД	Процентные поступления	Амортизация	Досрочная амортизация
2	2024-05-01	2513.796753071447	1442984007.4566379	15321691.858152041	73399711.5532603	55208840.06951578
2	2024-06-01	2416.340350951066	1369584295.9033768	14539292.561464379	69528173.92161146	52006168.98080991
2	2024-07-01	2323.779100332434	1300056121.9817648	13797499.281153748	66008430.815783605	49113966.13343508
2	2024-08-01	2234.799974160826	1234047691.165981	13092576.311386459	63390441.17189548	47286499.15368281
2	2024-09-01	2113.1813765341353	1170657249.994087	12417959.97691673	61272706.17860251	45955962.3257417
2	2024-10-01	2036.0116453518942	1109384543.8154824	11766179.23147037	57556116.65376496	42856084.260555044
2	2024-11-01	1944.0252155468877	1051828427.1617174	11152558.50892989	58708539.53254047	45216270.57542185
2	2024-12-01	1801.7631369563103	993119887.6291769	10527872.6061982	59341011.031042226	48068455.34090242
2	2025-01-01	1594.0645053386743	933778876.5981361	9895399.099559069	46491093.17248532	35836799.236763164
2	2025-02-01	1541.9023840603968	887287783.4256501	9399930.329726605	43194280.56705683	32873321.60842777
2	2025-03-01	1490.5783104490706	844093502.8585924	8938973.67749346	41709129.58713167	31688352.165543824
2	2025-04-01	1441.598659158205	802384373.271461	8494358.200973732	38173019.29018907	28455574.00652064
2	2025-05-01	1396.5833186397717	764211353.9812728	8087643.553901944	35787874.22685015	26356704.767542403
2	2025-06-01	1349.3740249785005	728423479.7544223	7705678.93216886	35411089.41991116	26274535.75523645
2	2025-07-01	1305.978712594056	693012390.3345118	7328352.41964941	33818288.33489311	24959726.318742685
2	2025-08-01	1262.0276575525584	659194101.9996175	6968128.593455086	31841495.05971837	23249308.803259823
2	2025-09-01	1219.2907213248398	627352606.9398992	6629000.217685157	31113117.63848008	22789921.908323478
2	2025-10-01	1177.7427842327997	596239489.30142	6297363.83892088	30963504.200846527	22925545.817163967
2	2025-11-01	1134.8264019575972	565275985.1005731	5968123.574923432	29689560.9135318	21927736.520881183
2	2025-12-01	1092.8485107531226	535586424.18704146	5651910.550945501	31236592.812224172	23739924.568673555
2	2026-01-01	1047.2374464445538	504349831.3748165	5319403.312681229	24249365.044868477	17056581.13902435
2	2026-02-01	1012.2163654610586	480100466.3299481	5061262.933643551	23697154.77563488	16748881.358484372
2	2026-03-01	976.5051482148414	456403311.55431366	4809562.940962307	21249938.462529883	14541574.065783069
2	2026-04-01	946.3328278804224	435153373.09178364	4583216.222890956	20780826.31785159	14262259.062722625
2	2026-05-01	915.0979283515844	414372546.7739319	4361982.631643061	20268974.96055984	13965076.624966148
2	2026-06-01	884.1354837390954	394103571.8133726	4146359.8029122	20100075.692898393	13990461.694936175
2	2026-07-01	853.8628359227114	374003496.1204735	3932982.78710181	18850333.470504742	12941634.30950057
2	2026-08-01	824.5510830638972	355153162.64996916	3732732.9173696414	17223061.54273916	11502681.939746886
2	2026-09-01	797.783611442977	337930101.1072301	3549961.7595614474	17028973.533970628	11490693.748407278
2	2026-10-01	768.7676589968098	320901127.57325965	3369362.905105956	16652623.82629405	11303686.885552315
2	2026-11-01	738.4465093317423	304248503.7469654	3192896.8341748086	16574995.425261749	11444938.840542093
2	2026-12-01	704.9454298797588	287673508.32170355	3017310.714722443	17037696.539950952	12152928.900391439
2	2027-01-01	668.065108878427	270635811.7817528	2836883.884576943	14670020.481454443	10051605.449706823
2	2027-02-01	639.2028308989336	255965791.30029815	2681978.1287139235	13710267.718572885	9313738.3240661
2	2027-03-01	610.462704523409	242255523.58172536	2537147.047373157	12194473.789952112	8010234.637824344
2	2027-04-01	583.453279456523	230061049.79177302	2408315.2346187164	11756535.004964197	7759238.8278168235
2	2027-05-01	554.8115637697654	218304514.78680888	2284163.087948447	11551124.241830599	7757317.811377585
2	2027-06-01	527.4083998861552	206753390.5449783	2162516.3794751684	10617078.329116998	7004583.220099587
2	2027-07-01	505.16036031677265	196136312.2158614	2050528.0133876621	10547012.501809921	7080541.644694284
2	2027-08-01	485.14248362145395	185589299.71405157	1939429.856180052	9795615.172265714	6492303.272300681
2	2027-09-01	463.8486323885829	175793684.54178572	1836345.7865612279	9114857.003504021	5953919.372216107
2	2027-10-01	444.4046669415848	166678827.53828168	1740314.365798377	8917798.192596689	5879535.581895755
2	2027-11-01	424.1253017263935	157761029.345685	1646459.0980923476	8793087.147440515	5908398.492225369
2	2027-12-01	403.7347704609499	148967942.19824454	1553795.7694500603	9171078.552689007	6423237.699574109
2	2028-01-01	381.73197807187034	139796863.64555547	1457324.6366561758	7744962.4326258	5134128.498886965
2	2028-02-01	365.92967568185225	132051901.21292974	1376044.5475348742	6759529.870640275	4267803.161253782
2	2028-03-01	351.802261463507	125292371.34228945	1305004.625211312	6747651.988795776	4358923.002894893
2	2028-04-01	335.7782314834607	118544719.35349362	1234182.0809026035	6335825.803861243	4042872.0759205874
2	2028-05-01	323.40872956941973	112208893.54963228	1167737.7306421709	6092110.255288254	3872698.4857397033
2	2028-06-01	311.3417194703059	106116783.29434405	1103911.9861767194	5530204.533315297	3384344.0968253193
2	2028-07-01	299.89115882089555	100586578.76102887	1045909.4194928652	5433086.990945651	3367078.417232151
2	2028-08-01	288.86290256623863	95153491.77008322	988967.54631354	5094640.359121302	3101253.8236739156
2	2028-09-01	278.08440012331613	90058851.41096193	935599.1805188077	4905862.473712077	2975852.4026762615
2	2028-10-01	267.4563149625969	85152988.93724982	884282.0002832536	4843855.211974639	2976589.7343275454
