Сценарий	Отчетная дата	Кол-во закладных	Текущий ОД	Процентные поступления	Амортизация	Досрочная амортизация
5	2024-04-01	4733.522019341231	2798104491.716439	29455178.820566434	92023015.57799041	56618511.59504014
5	2024-05-01	4642.747503482091	2706081476.13845	28476905.916702203	90332778.65745641	55533236.58958854
5	2024-06-01	4545.683908722653	2615748697.4809937	27518412.518787276	86312700.30902985	52127567.73118334
5	2024-07-01	4457.430796592758	2529435997.171962	26601350.68259449	84849950.45158474	51199806.107299365
5	2024-08-01	4369.4808860140565	2444586046.7203765	25699681.409323197	82791897.06278545	49974166.7425956
5	2024-09-01	4233.864422983724	2361794149.6575947	24823290.298119996	83675933.02584198	51673920.97378241
5	2024-10-01	4154.3707254160045	2278118216.6317496	23938765.394221567	76936774.59553099	45597309.55955197
5	2024-11-01	4056.532205546631	2201181442.036217	23123116.394796487	79011663.27154428	49776519.70966756
5	2024-12-01	3815.8425734742723	2122169778.7646732	22287990.674835406	77671203.96221593	53217943.37973738
5	2025-01-01	3409.2751537979943	2044498574.8024602	21465283.63841208	67247681.1529674	43595572.16855049
5	2025-02-01	3357.161144213451	1977250893.6494918	20753730.57331401	64504603.42223521	41153205.46552965
5	2025-03-01	3302.382123045446	1912746290.2272532	20070309.366506793	64338781.19917883	41266892.34057078
5	2025-04-01	3249.366864572932	1848407509.0280757	19389990.5466594	58396710.613041244	35616777.08313205
5	2025-05-01	3201.6787099316743	1790010798.4150367	18773028.705145303	56799798.10874478	34291077.489198044
5	2025-06-01	3144.331582371209	1733211000.306291	18171689.191612296	58805398.68617775	36639375.892593145
5	2025-07-01	3093.955133337621	1674405601.6201146	17550418.983180605	58102747.57101238	36264771.93952567
5	2025-08-01	3040.6495133812805	1616302854.049099	16937381.95727556	55220504.853403166	33684113.81475921
5	2025-09-01	2987.5825988599463	1561082349.1956964	16355089.48402409	55908959.93858502	34690244.19957072
5	2025-10-01	2933.6516932081545	1505173389.2571135	15764751.483232347	56723687.28265999	35878035.66465599
5	2025-11-01	2873.036977338502	1448449701.9744525	15167323.489133589	52996815.70767656	32535150.666904647
5	2025-12-01	2816.4483466767106	1395452886.2667763	14608360.721923878	57024273.75869951	36899512.854491785
5	2026-01-01	2752.0625620203177	1338428612.5080743	14007075.519773515	48750402.27512513	29029274.152418453
5	2026-02-01	2696.2309184342057	1289678210.2329497	13493331.59387007	49345302.768836364	30021177.25296472
5	2026-03-01	2636.3163644658744	1240332907.4641147	12974831.385669265	44599325.7584019	25694903.514321107
5	2026-04-01	2586.108552397468	1195733581.7057128	12504555.992723037	44645943.62713303	26073665.243601777
5	2026-05-01	2532.7920985938486	1151087638.0785794	12034065.3600089	43450547.67919172	25266584.39754653
5	2026-06-01	2480.4065517821264	1107637090.3993888	11575806.035924235	45103633.116727605	27257037.85673218
5	2026-07-01	2422.2797243821005	1062533457.282659	11101420.948750751	42417533.7082662	24931835.57250062
