Сценарий	Отчетная дата	Кол-во закладных	Текущий ОД	Процентные поступления	Амортизация	Досрочная амортизация
2	2021-05-01	11051.71996573919	9907029505.501547	106207377.91601664	312898499.46126634	236961006.70812827
2	2021-06-01	10841.81818452963	9594131006.040337	102792012.66339281	306210872.24381983	231282872.46513963
2	2021-07-01	10637.111183282952	9287920133.796526	99451057.09485318	304814547.93383604	230775648.03065476
2	2021-08-01	10432.479545377922	8983105585.862648	96132237.14769158	297154689.6738844	224199622.37003368
2	2021-09-01	10230.126106922242	8685950896.188759	92903882.15659992	282917493.8202528	211042765.23421055
2	2021-10-01	10034.035364880407	8403033402.368502	89826894.5545597	289713867.50291026	218882359.71147886
2	2021-11-01	9823.885988806041	8113319534.865619	86678473.16759163	296540309.5772007	226860558.28170747
2	2021-12-01	9589.800734589475	7816779225.288386	83453031.89134094	316324721.4776851	247973163.98782608
2	2022-01-01	9330.945737084527	7500454503.810733	80012511.77757001	253846110.66942218	187076062.10330486
2	2022-02-01	9141.638721725969	7246608393.141297	77261306.18098001	246295974.53730422	180663076.08287585
2	2022-03-01	8953.484771378236	7000312418.603988	74591970.4187392	242989369.21512562	178361638.06458533
2	2022-04-01	8767.450015726257	6757323049.388851	71965879.99981165	232853350.98259568	169444630.55029166
2	2022-05-01	8583.856783130806	6524469698.406271	69447529.10217272	232961697.98968348	170624466.6731866
2	2022-06-01	8402.652071664837	6291508000.416591	66933809.766412854	224585466.7347569	163408826.6903925
2	2022-07-01	8221.794008057299	6066922533.681818	64506188.95132519	224938135.21084812	164793185.18794802
2	2022-08-01	8035.7315675959835	5841984398.470992	62083162.33804044	215369392.5709461	156483247.75848275
2	2022-09-01	7854.202943666752	5626615005.900042	59762147.873731464	206563872.3747173	148870422.806473
2	2022-10-01	7666.702197396146	5420051133.525311	57537797.95071483	211531810.62750867	154948701.09221455
2	2022-11-01	7459.259553773089	5208519322.897804	55262159.382945694	217699729.4797501	162451134.79773426
2	2022-12-01	7242.985323581619	4990819593.418065	52917872.55075491	231462013.61350194	177631845.91314837
2	2023-01-01	6989.385471958382	4759357579.804558	50428479.88916319	187992120.498214	135835406.1783092
2	2023-02-01	6810.076650381899	4571365459.306351	48414332.550749004	180948869.0366922	129888669.15262571
2	2023-03-01	6626.181117890566	4390416590.269649	46474726.82870279	177671479.02444676	127796107.18803325
2	2023-04-01	6441.842042570446	4212745111.2452106	44573063.3539023	169688609.67502427	121139512.82343622
2	2023-05-01	6242.91944711099	4043056501.570181	42757104.73478496	165069402.17082703	117958957.46562964
2	2023-06-01	6048.722213615531	3877987099.399355	40993944.94452669	162627443.44135362	116947107.35443103
2	2023-07-01	5855.037409051682	3715359655.9579964	39258987.98174233	151800264.46992272	107900179.64267921
