Номер закладной	Дата выдачи	Дата погашения	Текущий ОД	Ставка по кредиту	Кредит/Залог	Регион	Первоначальный ОД	Доходы заемщика	Образование	Продукт
243	2014-06-30	2036-06-27	508133.07	13.5	69.51	54	700000.0	22347.0	4	0
244	2016-08-29	2021-08-10	694426.15	12.5	54.1	24	900000.0	48499.6	5	0
245	2013-06-06	2033-05-25	1675735.38	12.5	79.59	23	2250000.0	54739.04	5	0
246	2016-12-02	2018-02-16	0.0	11.9	55.95	54	1340000.0	45000.0	5	0
247	2016-11-25	2020-06-12	521517.16	11.9	74.91	54	1600000.0	117877.2	4	0
248	2012-12-28	2037-12-27	1436554.0	12.5	75.99	55	1500000.0	68524.99	5	0
249	2012-10-16	2037-09-17	1517275.67	13.0	82.06	54	2150000.0	60339.51	5	0
250	2013-12-24	2030-12-20	571080.42	12.0	25.43	55	640000.0	16885.97	3	0
251	2013-04-02	2029-03-03	565035.68	12.0	46.27	55	800000.0	21221.01	4	0
252	2015-07-28	2035-07-25	580602.82	14.7	37.37	55	1050000.0	43798.32	5	0
253	2013-03-26	2033-02-27	1103333.57	12.0	50.02	55	1200000.0	36771.86	5	0
254	2014-08-15	2021-07-27	1102365.26	11.75	46.9	24	2286000.0	96891.15	6	0
255	2016-11-29	2030-08-18	2420885.38	12.9	73.07	24	2600000.0	98700.0	5	0
256	2013-11-27	2033-11-20	702234.33	12.25	44.54	55	750000.0	23030.63	5	0
257	2017-02-08	2027-02-02	473545.29	11.5	66.43	55	950000.0	61701.6	5	0
258	2014-05-20	2024-05-15	620882.94	12.5	36.5	70	1000000.0	47175.75	5	0
259	2017-01-27	2023-07-26	1052198.85	11.9	71.93	54	1266704.55	53000.0	6	0
260	2014-06-05	2039-05-06	586029.61	11.5	57.86	55	1086000.0	24999.69	5	0
261	2016-12-29	2026-12-27	3277247.29	11.9	75.0	70	3502500.0	250000.0	5	0
262	2016-11-22	2036-11-17	1078563.05	12.9	71.98	54	1094077.45	52175.74	3	0
263	2014-05-23	2039-05-02	1359927.72	12.0	84.9	55	2620000.0	76410.82	5	0
264	2012-12-28	2037-12-15	953407.75	11.75	55.13	55	1000000.0	52274.13	5	0
265	2013-05-08	2028-05-02	542038.47	12.0	79.84	55	1200000.0	33963.34	5	0
266	2013-12-26	2028-12-22	460456.84	12.25	28.17	54	1000000.0	52740.37	5	0
267	2016-11-16	2025-12-17	963238.16	12.25	56.7	55	1100000.0	109608.49	5	0
268	2015-07-23	2025-07-06	519259.48	14.7	22.64	54	600000.0	33281.42	5	0
269	2016-12-14	2025-11-20	589632.01	11.9	51.2	55	640000.0	36352.05	6	0
270	2013-04-25	2038-03-27	804334.55	12.0	62.17	54	1700000.0	57313.61	5	0
271	2016-12-28	2026-12-15	1077330.32	11.5	79.87	54	1952000.0	111478.12	5	0
272	2015-12-30	2030-12-06	1099718.66	13.65	48.74	54	1160000.0	49362.82	5	0
273	2014-11-25	2031-10-27	1105927.17	13.5	74.64	42	1180000.0	38202.12	4	0
274	2012-01-30	2027-01-12	796379.67	12.75	66.67	54	1000000.0	30721.51	4	0
275	2013-06-20	2028-06-04	348121.59	11.75	69.99	55	2244000.0	65848.12	5	0
276	2016-12-20	2039-11-09	1555407.83	11.9	59.36	54	1602750.6	64278.81	4	0
277	2014-12-29	2019-12-15	659619.55	11.5	37.04	54	1500000.0	167080.56	5	0
278	2014-11-12	2034-11-12	1857447.34	12.5	75.15	54	2480000.0	53276.76	5	0
279	2016-11-25	2031-11-15	1406215.09	11.9	62.96	54	1450000.0	46842.5	5	0
280	2017-01-12	2029-12-20	1220983.9	11.9	78.6	24	1273638.13	81925.59	5	0
281	2017-01-18	2036-12-25	1556166.19	11.25	60.63	54	1580000.0	60000.0	5	0
282	2011-12-09	2036-11-12	347885.81	12.0	69.19	54	1190000.0	30205.9	5	0
283	2014-11-13	2024-11-13	1388164.34	12.25	69.89	70	1950000.0	150007.41	5	0
284	2014-01-23	2038-12-24	415753.84	11.5	83.99	55	1390000.0	36812.69	5	0
285	2016-05-06	2021-07-10	256365.42	12.25	24.21	54	1050000.0	36027.5	5	0
286	2014-08-25	2030-08-17	522302.69	12.25	78.27	55	1250000.0	38114.74	3	0
287	2011-03-31	2036-03-02	994488.79	12.75	81.38	54	1058000.0	26110.5	5	0
288	2014-10-14	2034-09-15	2334435.96	11.5	69.66	54	2905000.0	188759.7	5	0
289	2016-11-29	2026-11-27	934085.59	11.9	33.89	54	1000000.0	100000.0	5	0
290	2014-05-29	2021-05-02	149219.13	11.75	63.09	54	1700000.0	146270.16	5	0
291	2014-04-04	2024-03-05	1535797.44	12.0	67.82	24	2480000.0	92700.81	5	0
292	2017-02-02	2035-01-13	1813408.92	11.9	64.85	24	1848320.3	62512.73	5	0
293	2014-04-22	2029-04-15	1806218.05	12.25	68.5	54	2240000.0	62205.0	5	0
294	2017-01-19	2030-01-22	1014801.22	11.9	69.71	55	1122356.32	35220.51	5	0
