Номер закладной	Дата выдачи	Дата погашения	Текущий ОД	Ставка по кредиту	Кредит/Залог	Регион	Первоначальный ОД	Доходы заемщика	Образование	Продукт
11810	2013-05-29	2028-07-28	1001917.04	12.75	26.57	29	1200000.0	48291.55	4	0
11811	2013-05-23	2023-07-21	890925.21	13.25	49.09	29	1400000.0	58689.9	5	0
11812	2013-05-08	2025-07-08	542175.71	13.75	46.29	29	730000.0	18901.48	4	0
11813	2013-05-08	2020-01-28	359341.16	12.85	46.31	29	1500000.0	68465.9	3	0
11814	2015-12-24	2035-10-18	423331.76	13.5	38.51	63	1000000.0	38323.88	5	0
11815	2014-09-29	2024-11-29	490853.97	13.35	33.49	63	700000.0	32190.0	5	0
11816	2015-12-21	2035-05-18	937743.02	14.0	86.96	63	1400000.0	22620.0	4	0
11817	2015-11-24	2025-05-28	681412.26	14.0	62.29	63	1001000.0	22222.69	5	0
11818	2014-12-26	2034-03-28	1272684.49	13.05	73.96	63	1394175.7	40377.77	3	0
11819	2014-12-19	2025-02-19	565129.98	12.85	33.84	63	1435000.0	43196.95	3	0
11820	2015-02-17	2028-04-17	1042697.36	13.95	79.87	63	1190000.0	29283.41	3	0
11821	2014-12-11	2023-02-10	565587.46	14.45	64.8	63	845000.0	36000.0	3	0
11822	2014-12-18	2035-02-16	834963.91	13.85	64.37	63	874175.7	28635.24	5	0
11823	2014-12-09	2035-02-09	1524121.92	12.55	77.0	63	1610000.0	28958.46	5	0
11824	2014-11-21	2025-01-21	762526.28	12.05	36.66	63	1010000.0	35125.25	5	0
11825	2014-11-14	2027-03-01	949945.57	13.45	84.42	63	1317000.0	37278.1	5	0
11826	2014-10-30	2025-12-29	564026.3	13.35	38.93	63	800000.0	30240.0	4	0
11827	2014-10-29	2026-12-29	998829.48	12.85	72.59	63	1255000.0	28807.85	5	0
11828	2014-12-11	2030-02-11	1191346.32	13.05	56.67	63	1326000.0	32448.77	3	0
11829	2014-10-29	2029-12-28	1386353.82	12.55	76.66	63	1560000.0	39827.52	5	0
11830	2014-11-25	2030-01-25	733135.54	13.95	30.82	63	812000.0	104000.0	3	0
11831	2014-10-27	2028-03-28	824647.37	12.55	38.26	63	1010000.0	28300.0	4	0
11832	2014-11-19	2025-01-17	83475.59	13.35	38.92	63	650000.0	42000.0	4	0
11833	2014-10-16	2034-12-15	1132281.24	12.55	55.74	63	1200000.0	17400.0	4	0
11834	2014-10-13	2024-12-13	675629.17	13.05	55.71	63	1020000.0	29352.04	3	0
11835	2014-11-13	2021-10-11	462804.83	12.85	58.2	63	1260000.0	84146.92	4	0
11836	2014-10-13	2021-10-18	458690.79	13.05	46.7	63	850000.0	46773.9	5	0
11837	2014-10-07	2023-09-28	765415.13	13.15	35.0	63	1505000.0	100000.0	5	0
11838	2014-09-30	2034-02-28	898904.06	13.05	79.89	63	1200000.0	31287.0	5	0
11839	2014-09-30	2034-01-10	612579.89	13.85	36.28	63	800000.0	50000.0	4	0
11840	2014-10-24	2029-12-24	982796.22	13.15	63.77	63	1100000.0	30000.0	5	0
11841	2014-12-12	2025-02-12	747528.99	13.85	67.61	63	960000.0	43080.48	3	0
11842	2014-12-26	2035-02-26	1273886.39	13.05	76.57	63	1340000.0	32035.33	3	0
11843	2014-12-22	2035-02-22	1096998.28	13.05	68.55	63	1260000.0	23815.83	3	0
11844	2015-11-18	2036-01-18	1064240.74	13.5	51.64	63	1100000.0	22528.07	5	0
11845	2015-11-03	2035-09-18	1070401.24	14.0	50.16	63	1560000.0	32450.0	4	0
11846	2015-08-31	2023-07-28	352883.9	14.5	39.06	63	550000.0	30000.0	5	0
11847	2015-08-21	2030-09-30	765514.11	14.0	79.01	63	1280000.0	24821.37	4	0
11848	2015-08-18	2035-10-18	993910.14	14.0	68.67	63	1030000.0	25539.69	4	0
11849	2015-07-29	2030-03-18	390033.34	14.95	51.95	63	800000.0	18656.65	5	0
11850	2015-08-24	2027-10-22	888261.72	14.5	46.95	63	1000000.0	50000.0	5	0
11851	2015-07-22	2023-09-22	369328.33	14.0	32.53	63	500000.0	25782.68	4	0
11852	2015-07-16	2030-09-16	820375.4	14.95	74.88	63	1350000.0	38843.26	5	0
11853	2015-06-26	2035-08-24	1114281.18	14.95	80.0	63	1584000.0	36870.0	4	0
11854	2015-06-15	2020-01-28	82001.92	15.95	60.94	63	1100000.0	17428.25	3	0
11855	2015-04-30	2024-06-28	798772.87	15.95	79.47	63	1200000.0	40549.9	4	0
11856	2015-04-27	2030-02-28	620542.35	15.95	35.39	63	1120000.0	35000.0	4	0
11857	2015-04-23	2022-05-18	645990.16	15.95	79.43	63	1440000.0	66071.96	5	0
11858	2015-04-09	2030-06-07	695472.53	15.95	47.62	63	750000.0	25500.0	4	0
11859	2015-03-13	2027-05-13	733562.4	14.95	49.42	63	850000.0	26000.0	4	0
11860	2015-02-11	2025-04-11	721972.37	14.95	56.96	63	900000.0	26177.33	4	0
11861	2015-02-13	2025-04-11	673822.61	14.95	39.14	63	840000.0	44000.0	5	0
11862	2015-02-09	2031-04-09	788213.98	14.95	33.66	63	850000.0	24688.41	4	0
11863	2015-02-03	2035-04-03	1060517.97	14.95	49.66	63	1100000.0	42603.83	5	0
11864	2015-01-23	2034-09-11	965253.41	14.95	49.97	16	2175000.0	50000.0	4	0
11865	2014-12-26	2035-02-26	1210493.56	14.95	42.77	63	1260000.0	31117.94	5	0
11866	2014-12-22	2024-04-18	449123.1	12.55	55.25	63	1010000.0	24025.0	5	0
11867	2015-12-25	2036-02-25	1523100.13	14.0	68.49	63	1569836.2	40015.79	3	0
11868	2014-10-16	2024-07-18	1185873.76	11.65	60.31	42	2010000.0	29262.11	5	0
11869	2014-10-02	2024-12-02	599934.94	12.85	40.45	24	1260000.0	30000.0	5	0
11870	2014-09-25	2029-11-23	1364434.16	13.45	64.59	24	1527000.0	40000.0	5	0
11871	2015-06-16	2035-08-16	1258555.0	14.95	49.81	37	1300000.0	110000.0	5	0
11872	2015-05-13	2030-07-12	3740507.98	15.95	78.74	37	4000000.0	95000.0	3	0
11873	2014-12-29	2024-10-18	512639.39	14.95	61.73	37	1105000.0	40000.0	3	0
11874	2014-08-06	2029-10-05	1448410.38	12.05	69.92	37	1650000.0	20841.88	5	0
11875	2014-07-25	2029-09-25	1126163.79	12.55	79.01	37	1280000.0	58131.82	5	0
11876	2013-08-01	2028-09-29	426470.64	13.8	34.48	37	500000.0	35000.0	5	0
11877	2013-07-25	2028-09-25	631493.42	13.8	55.15	37	750000.0	50000.0	4	0
11878	2013-07-25	2028-09-25	855701.18	14.05	60.24	37	1000000.0	27000.0	4	0
11879	2013-07-12	2023-09-12	811543.1	13.7	85.03	37	1250000.0	34003.05	5	0
11880	2013-07-11	2028-07-28	347150.43	12.55	64.0	37	1024000.0	25000.0	5	0
11881	2015-07-24	2028-04-18	770923.03	14.0	75.98	37	1360000.0	40000.0	5	0
11882	2013-07-10	2028-09-11	767187.83	13.75	47.62	37	900000.0	24000.0	4	0
11883	2013-07-02	2020-09-02	626428.13	13.45	35.19	37	2150000.0	120000.0	5	0
11884	2013-06-18	2028-08-18	775299.45	13.8	55.61	37	912000.0	35000.0	4	0
11885	2013-05-27	2023-07-27	513298.07	13.75	52.29	37	800000.0	17000.0	4	0
11886	2013-05-22	2023-07-21	513452.42	13.75	47.34	37	800000.0	25000.0	4	0
11887	2013-04-30	2020-06-30	284159.68	11.4	30.51	37	900000.0	35918.87	4	0
11888	2013-04-26	2028-06-26	589024.44	14.15	76.35	37	1275000.0	22620.0	5	0
11889	2013-04-26	2020-11-10	250004.15	13.75	39.82	37	880000.0	35000.0	4	0
11890	2013-04-25	2028-06-23	1863237.58	14.15	64.33	37	2200000.0	80000.0	5	0
11891	2013-02-06	2020-04-06	444684.74	11.4	39.33	37	1632400.0	200000.0	4	0
11892	2013-01-24	2028-03-24	904034.06	14.35	83.72	37	1080000.0	36447.68	5	0
11893	2013-07-08	2023-09-08	638751.33	14.15	59.45	37	975000.0	43000.0	4	0
11894	2015-07-27	2030-01-10	643749.53	14.0	71.2	37	1360000.0	47833.33	5	0
11895	2015-08-13	2029-11-12	435166.92	14.5	47.11	37	1074000.0	25000.0	5	0
11896	2015-08-07	2035-10-05	1071181.36	14.0	76.03	37	1110000.0	26064.24	4	0
11897	2013-08-07	2028-07-28	2165522.21	12.55	88.89	32	3000000.0	59339.67	5	0
11898	2013-08-21	2023-10-20	333384.34	14.05	61.89	32	799000.0	50000.0	3	0
11899	2013-08-02	2023-10-02	622093.35	14.05	62.1	32	942000.0	52000.0	4	0
11900	2013-07-26	2028-09-26	939635.88	14.05	64.97	32	1098000.0	43600.0	5	0
11901	2013-07-11	2028-09-11	552276.39	13.75	59.09	32	650000.0	25000.0	4	0
11902	2013-06-28	2022-08-26	543837.46	14.05	63.24	32	936000.0	30000.0	3	0
11903	2013-06-21	2020-08-21	287856.35	13.45	56.18	32	800000.0	40000.0	5	0
11904	2013-07-12	2018-09-08	0.0	12.55	70.18	32	1600000.0	30603.0	5	0
11905	2013-05-23	2028-07-21	549553.53	13.75	41.27	32	650000.0	18000.0	4	0
11906	2013-05-14	2020-04-20	254284.82	11.4	34.29	32	900000.0	40000.0	5	0
11907	2013-04-26	2020-06-26	385881.42	11.4	39.8	32	1220000.0	50000.0	5	0
11908	2012-12-27	2042-11-28	1177314.65	14.25	54.82	32	1200000.0	32601.74	5	0
11909	2012-11-01	2027-07-28	652779.86	13.55	56.93	32	1170000.0	10000.0	4	0
11910	2012-07-27	2019-09-27	191190.69	13.25	48.8	32	1000000.0	150000.0	5	0
11911	2011-09-14	2035-09-10	1151513.07	13.65	86.26	32	1683000.0	40000.0	4	0
11912	2011-09-07	2021-11-05	876505.99	11.55	43.38	32	2000000.0	60000.0	5	0
11913	2009-11-27	2025-01-27	677448.31	14.85	61.39	32	1000000.0	31479.07	5	0
11914	2009-03-06	2028-07-18	474745.32	15.35	47.21	32	880000.0	26323.35	4	0
11915	2009-01-27	2024-03-27	713649.29	13.45	58.48	32	1200000.0	50000.0	5	0
11916	2015-08-27	2025-10-27	1248733.11	14.5	49.5	37	1500000.0	70000.0	3	0
11917	2015-08-28	2026-06-10	1271644.57	14.0	75.21	37	1820000.0	80000.0	5	0
11918	2015-08-13	2023-04-18	277698.16	14.0	67.71	37	1300000.0	45000.0	5	0
11919	2015-08-10	2030-08-28	686253.7	14.5	48.58	37	1200000.0	38000.0	5	0
11920	2012-10-23	2027-12-23	394999.1	13.55	48.0	37	600000.0	25000.0	5	0
11921	2013-08-29	2020-10-29	339820.99	13.7	62.72	32	875000.0	28000.0	4	0
11922	2012-10-10	2027-10-18	595011.25	13.55	61.88	37	1120000.0	31320.0	5	0
11923	2012-06-06	2022-12-19	478075.85	12.75	36.63	37	1000000.0	36540.0	5	0
11924	2015-03-25	2024-09-30	546128.38	15.95	60.52	78	2730000.0	60000.0	5	0
11925	2015-03-16	2030-05-16	926042.42	15.95	39.82	78	1000000.0	50000.0	4	0
